level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,page
5,1,2,1,6,6,640,426,17,24,96.658043,it,2
5,1,2,1,6,7,665,426,19,25,93.260582,is,2
5,1,2,1,6,8,693,425,138,34,92.874016,pseudo-art,2
5,1,2,1,6,9,841,425,29,25,96.536873,of,2
5,1,2,1,6,10,878,425,59,25,93.215149,kind,2
5,1,2,1,6,11,948,426,31,30,93.104691,B;,2
5,1,2,1,6,12,990,427,48,24,96.89402,and,2
5,1,2,1,6,13,1048,428,58,30,96.809937,"that,",2
5,1,2,1,7,1,321,466,98,25,96.940247,because,2
5,1,2,1,7,2,433,465,18,24,96.189819,it,2
5,1,2,1,7,3,464,464,19,25,93.208244,is,2
5,1,2,1,7,4,497,463,137,34,93.054993,pseudo-art,2
5,1,2,1,7,5,647,461,28,26,96.832275,of,2
5,1,2,1,7,6,685,462,59,24,93.252411,kind,2
5,1,2,1,7,7,760,462,35,25,70.858665,C’.,2
5,1,2,2,1,1,356,501,121,33,96.301949,"Secondly,",2
5,1,2,2,1,2,493,508,36,17,96.65432,we,2
5,1,2,2,1,3,543,504,64,21,96.082764,must,2
5,1,2,2,1,4,623,499,101,34,96.265282,proceed,2
5,1,2,2,1,5,739,504,25,19,96.818291,to,2
5,1,2,2,1,6,780,507,13,15,94.395935,a,2
5,1,2,2,1,7,808,497,125,26,94.395935,definition,2
5,1,2,2,1,8,950,498,28,25,96.975266,of,2
5,1,2,2,1,9,990,499,42,25,96.915619,the,2
5,1,2,2,1,10,1047,505,60,20,96.825653,term,2
5,1,2,2,2,1,322,538,58,24,82.700226,‘art’.,2
5,1,2,2,2,2,400,537,60,25,96.44487,This,2
5,1,2,2,2,3,472,545,77,17,96.824272,comes,2
5,1,2,2,2,4,561,535,95,31,96.753166,"second,",2
5,1,2,2,2,5,668,535,47,25,96.793846,and,2
5,1,2,2,2,6,727,539,42,21,96.930565,not,2
5,1,2,2,2,7,780,535,62,30,73.951836,"first,’",2
5,1,2,2,2,8,850,535,102,25,96.189949,because,2
5,1,2,2,2,9,964,543,31,16,96.817978,no,2
5,1,2,2,2,10,1007,544,46,16,96.831078,one,2
5,1,2,2,2,11,1065,545,42,16,96.957382,can,2
5,1,2,2,3,1,321,583,58,16,96.157578,even,2
5,1,2,2,3,2,394,579,37,28,96.157578,try,2
5,1,2,2,3,3,446,578,24,20,96.833046,to,2
5,1,2,2,3,4,485,573,78,25,96.258881,define,2
5,1,2,2,3,5,578,581,13,16,96.258881,a,2
5,1,2,2,3,6,605,577,61,20,96.597534,term,2
5,1,2,2,3,7,681,571,60,25,96.9104,until,2
5,1,2,2,3,8,757,571,30,25,96.99575,he,2
5,1,2,2,3,9,803,571,41,24,96.952919,has,2
5,1,2,2,3,10,860,571,85,25,96.400993,settled,2
5,1,2,2,3,11,961,572,24,24,96.941238,in,2
5,1,2,2,3,12,1002,572,37,25,96.918121,his,2
5,1,2,2,3,13,1054,581,53,16,96.990204,own,2
5,1,2,2,4,1,321,609,66,28,92.904228,mind,2
5,1,2,2,4,2,402,618,14,16,77.073433,a,2
5,1,2,2,4,3,431,609,96,26,96.853249,definite,2
5,1,2,2,4,4,541,617,73,25,96.7024,usage,2
5,1,2,2,4,5,629,608,29,25,96.95562,of,2
5,1,2,2,4,6,670,608,29,24,96.244148,it:,2
5,1,2,2,4,7,715,616,31,16,96.244148,no,2
5,1,2,2,4,8,762,616,45,16,96.901344,one,2
5,1,2,2,4,9,824,616,43,16,96.956688,can,2
5,1,2,2,4,10,884,607,78,25,96.946396,define,2
